Query,Min_time,Indexes
Q1,0.0587094704310099,I3+I4
Q2,0.0989473899205525,I4
Q3,0.0807614644368489,I2+I4
Q4,0.0387600342432657,I1+I3
Q5,0.0597636381785074,I2+I3
Q6,0.0842926343282063,I3
Q7,0.0344037691752115,I1
